=== ЛОГ ЭПИЗОДА 100 ===
Цель находится в позиции: [-1.3061504  -0.49281315]
--------------------------------------------------
Шаг: 221 | Действие: 2 | Поз: (-0.00, -0.08) | Угол: -0.08 | Награда: -0.08
Шаг: 222 | Действие: 3 | Поз: (-0.00, -0.08) | Угол: -0.08 | Награда: -0.01
Шаг: 223 | Действие: 2 | Поз: (-0.00, -0.08) | Угол: -0.09 | Награда: 0.01
Шаг: 224 | Действие: 4 | Поз: (-0.00, -0.08) | Угол: -0.09 | Награда: -0.01
Шаг: 225 | Действие: 2 | Поз: (-0.00, -0.08) | Угол: -0.09 | Награда: 0.08
Шаг: 226 | Действие: 1 | Поз: (-0.00, -0.08) | Угол: -0.09 | Награда: -0.20
Шаг: 227 | Действие: 0 | Поз: (0.00, -0.06) | Угол: -0.12 | Награда: -1.14
Шаг: 228 | Действие: 0 | Поз: (-0.00, -0.06) | Угол: -0.16 | Награда: 0.45
Шаг: 229 | Действие: 4 | Поз: (-0.00, -0.06) | Угол: -0.16 | Награда: 0.21
Шаг: 230 | Действие: 4 | Поз: (-0.00, -0.07) | Угол: -0.16 | Награда: 0.10
Шаг: 231 | Действие: 4 | Поз: (-0.00, -0.07) | Угол: -0.16 | Награда: 0.06
Шаг: 232 | Действие: 2 | Поз: (-0.00, -0.07) | Угол: -0.16 | Награда: 0.05
Шаг: 233 | Действие: 3 | Поз: (-0.00, -0.07) | Угол: -0.16 | Награда: -0.11
Шаг: 234 | Действие: 1 | Поз: (-0.00, -0.06) | Угол: -0.15 | Награда: -0.27
Шаг: 235 | Действие: 3 | Поз: (-0.00, -0.06) | Угол: -0.15 | Награда: -0.05
Шаг: 236 | Действие: 0 | Поз: (-0.00, -0.06) | Угол: -0.15 | Награда: 0.26
Шаг: 237 | Действие: 2 | Поз: (-0.00, -0.07) | Угол: -0.15 | Награда: 0.07
Шаг: 238 | Действие: 2 | Поз: (-0.00, -0.07) | Угол: -0.16 | Награда: 0.13
Шаг: 239 | Действие: 0 | Поз: (-0.00, -0.07) | Угол: -0.17 | Награда: 0.12
Шаг: 240 | Действие: 1 | Поз: (-0.01, -0.08) | Угол: -0.16 | Награда: 0.20
Шаг: 241 | Действие: 4 | Поз: (-0.00, -0.08) | Угол: -0.15 | Награда: -0.00
Шаг: 242 | Действие: 3 | Поз: (-0.01, -0.08) | Угол: -0.15 | Награда: 0.11
Шаг: 243 | Действие: 0 | Поз: (-0.01, -0.08) | Угол: -0.14 | Награда: 0.29
Шаг: 244 | Действие: 2 | Поз: (-0.01, -0.09) | Угол: -0.15 | Награда: 0.13
Шаг: 245 | Действие: 0 | Поз: (-0.01, -0.09) | Угол: -0.16 | Награда: 0.26
Шаг: 246 | Действие: 2 | Поз: (-0.01, -0.10) | Угол: -0.16 | Награда: 0.17
Шаг: 247 | Действие: 3 | Поз: (-0.01, -0.10) | Угол: -0.16 | Награда: 0.17
Шаг: 248 | Действие: 4 | Поз: (-0.01, -0.10) | Угол: -0.16 | Награда: 0.02
Шаг: 249 | Действие: 3 | Поз: (-0.01, -0.10) | Угол: -0.17 | Награда: 0.18
